Id,Label,Latest_Party,Party_Term_14,Party_Term_15,Party_Term_16,All_Parties,Party_Changes_Count,Party_Stable,Total_Bills,Government_Bills,Private_Bills,Parliamentary_Years_Count,Parliamentary_Years,Terms_Count,Terms,Committees_Count,Committees
Nasir Khan Khattak,Nasir Khan Khattak,PTI,PTI,,,PTI,0,1,4,0,4,3,2;3;4,1,14,0,
Shah Jee Gul Afridi,Shah Jee Gul Afridi,IND,IND,,,IND,0,1,4,0,4,2,3;4,1,14,0,
Muhammad Akram,Muhammad Akram,PTI,,PTI,,PTI,0,1,4,0,4,1,2,1,15,0,
Phyllis Azeem,Phyllis Azeem,PML-N,PML-N,,,PML-N,0,1,4,0,4,2,1;4,1,14,1,"Law, Justice and Human Rights"
Kesoo Mal Kheal Das,Kesoo Mal Kheal Das,PML-N,,,PML-N,PML-N,0,1,4,0,4,1,1,1,16,0,
Shehryar Afridi,Shehryar Afridi,PTI,PTI,,,PTI,0,1,4,0,4,2,2;4,1,14,0,
Syed Sajid Mehdi,Syed Sajid Mehdi,PML-N,,PML-N,,PML-N,0,1,4,0,4,2,1;4,1,15,1,"National Health Services, Regulations and Coordination"
Raja Riaz Ahmad,Raja Riaz Ahmad,PTI,,PTI,,PTI,0,1,4,0,4,1,2,1,15,0,
Ghulam Muhammad Lali,Ghulam Muhammad Lali,PTI,,PTI,,PTI,0,1,4,0,4,1,5,1,15,0,
Malik Nawab Sher Waseer,Malik Nawab Sher Waseer,PTI,,PTI,,PTI,0,1,4,0,4,2,1;5,1,15,0,
Danyal Chaudhry,Danyal Chaudhry,PML-N,,,PML-N,PML-N,0,1,4,0,4,1,1,1,16,0,
Sikandar Hayat Khan Bosan,Sikandar Hayat Khan Bosan,PML-N,PML-N,,,PML-N,0,1,4,4,0,2,2;4,1,14,1,National Food Security and Research
Abdul Aleem Khan,Abdul Aleem Khan,IPP,,,IPP,IPP,0,1,3,3,0,1,1,1,16,0,
Anjum Aqeel Khan,Anjum Aqeel Khan,PML-N,,,PML-N,PML-N,0,1,3,0,3,1,1,1,16,0,
Syed Shibli Faraz,Syed Shibli Faraz,PTI,,PTI,,PTI,0,1,3,3,0,1,4,1,15,0,
Usama Ahmed Mela,Usama Ahmed Mela,SIC,,,SIC,SIC,0,1,3,0,3,1,1,1,16,0,
Khalida Mansoor,Khalida Mansoor,PML-N,PML-N,,,PML-N,0,1,3,0,3,1,2,1,14,1,Cabinet Secretariat
Shakila Khalid Chaudhary,Shakila Khalid Chaudhary,PML-N,,PML-N,,PML-N,0,1,3,0,3,2,4;5,1,15,0,
Sehar Kamran,Sehar Kamran,PPPP,,,PPPP,PPPP,0,1,3,0,3,1,1,1,16,0,
Muhammad Ibrahim Khan,Muhammad Ibrahim Khan,PTI,,PTI,,PTI,0,1,3,0,3,3,1;2;3,1,15,0,
Afreen Khan,Afreen Khan,MMA,,MMA,,MMA,0,1,3,0,3,1,1,1,15,0,
Lal Chand Malhi,Lal Chand Malhi,PTI,PTI,,,PTI,0,1,3,0,3,2,1;3,1,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Muhammad Mobeen Arif,Muhammad Mobeen Arif,SIC,,,SIC,SIC,0,1,3,0,3,1,1,1,16,0,
Usman Khan Tarrakai,Usman Khan Tarrakai,PTI,,PTI,,PTI,0,1,3,0,3,2,2;3,1,15,0,
Ahmad Hussain,Ahmad Hussain,PTI,,PTI,,PTI,0,1,3,0,3,1,5,1,15,0,
Jamshed Thomas,Jamshed Thomas,PTI,,PTI,,PTI,0,1,3,0,3,3,1;2;3,1,15,0,
Nighat Parveen,Nighat Parveen,PML-N,PML-N,,,PML-N,0,1,3,0,3,2,1;5,1,14,1,Religious Affairs and Inter-faith Harmony
Qari Muhammad Yousaf,Qari Muhammad Yousaf,JUI,JUI,,,JUI,0,1,3,0,3,3,1;3;5,1,14,1,"Law, Justice and Human Rights"
Bilawal Bhutto Zardari,Bilawal Bhutto Zardari,PPPP,,PPPP,,PPPP,0,1,3,3,0,2,4;5,1,15,0,
Mehmood Khan Achakzai,Mehmood Khan Achakzai,PKMAP,PKMAP,,,PKMAP,0,1,3,0,3,1,2,1,14,1,"Law, Justice and Human Rights"
Syed Qazim Ali Shah,Syed Qazim Ali Shah,PML-F,PML-F,,,PML-F,0,1,3,0,3,1,2,1,14,1,"Law, Justice and Human Rights"
Syed Imran Ahmad Shah,Syed Imran Ahmad Shah,PML-N,,PML-N,,PML-N,0,1,3,0,3,1,5,1,15,0,
Leila Khan,Leila Khan,PML-N,PML-N,,,PML-N,0,1,3,0,3,1,1,1,14,2,Cabinet Secretariat;Interior and Narcotics Control
Muhammad Ali Rashid,Muhammad Ali Rashid,MQM,MQM,,,MQM,0,1,3,0,3,1,5,1,14,0,
Munawara Bibi Baloch,Munawara Bibi Baloch,PTI,,PTI,,PTI,0,1,3,0,3,1,1,1,15,0,
Tariq Fazal Chaudhry,Tariq Fazal Chaudhry,PML-N,,,PML-N,PML-N,0,1,3,0,3,1,1,1,16,0,
Abdul Shakoor Shad,Abdul Shakoor Shad,PTI,,PTI,,PTI,0,1,3,3,0,1,2,1,15,0,
Maiza Hameed,Maiza Hameed,PML-N,PML-N,,,PML-N,0,1,3,0,3,1,2,1,14,1,Interior and Narcotics Control
Aslam Bodla,Aslam Bodla,PML-N,PML-N,,,PML-N,0,1,3,0,3,1,5,1,14,0,
Zahira Wadood Fatemi,Zahira Wadood Fatemi,PML-N,,,PML-N,PML-N,0,1,3,0,3,1,1,1,16,0,
Mian Abdul Manan,Mian Abdul Manan,PML-N,PML-N,,,PML-N,0,1,3,0,3,1,2,1,14,1,Interior and Narcotics Control
Prince Muhammad Nawaz Allai,Prince Muhammad Nawaz Allai,PTI,,PTI,,PTI,0,1,3,0,3,1,1,1,15,0,
Dr. Hafeez Ur Rehman Khan,Dr. Hafeez Ur Rehman Khan,PML-N,PML-N,,,PML-N,0,1,3,0,3,1,5,1,14,0,
Javairia Zafar,Javairia Zafar,PTI,,PTI,,PTI,0,1,3,1,2,2,2;5,1,15,0,
Nuzhat Pathan,Nuzhat Pathan,PTI,,PTI,,PTI,0,1,3,0,3,1,2,1,15,0,
Ch. Armaghan Subhani,Ch. Armaghan Subhani,PML-N,,PML-N,,PML-N,0,1,3,0,3,1,5,1,15,0,
Aqibullah,Aqibullah,PTI,PTI,,,PTI,0,1,3,0,3,1,2,1,14,0,
Maulvi Asmatullah,Maulvi Asmatullah,MMA,,MMA,,MMA,0,1,3,0,3,3,1;2;3,1,15,0,
Usman Ibrahim,Usman Ibrahim,PML-N,PML-N,,,PML-N,0,1,2,2,0,2,3;5,1,14,0,
Makhdoom Syed Sami-ul-Hassan Gillani,Makhdoom Syed Sami-ul-Hassan Gillani,PTI,,PTI,,PTI,0,1,2,0,2,1,1,1,15,0,
Mian Riaz Hussain Pirzada,Mian Riaz Hussain Pirzada,PML-N,,,PML-N,PML-N,0,1,2,2,0,1,1,1,16,0,
Dr. Tariq Fazal Ch.,Dr. Tariq Fazal Ch.,PML-N,PML-N,,,PML-N,0,1,2,2,0,1,5,1,14,0,
Abid Sher Ali,Abid Sher Ali,PML-N,PML-N,,,PML-N,0,1,2,2,0,1,5,1,14,0,
Muhammad Alamgir Khan,Muhammad Alamgir Khan,PTI,,PTI,,PTI,0,1,2,0,2,2,2;3,1,15,0,
Tariq Christopher Qaiser,Tariq Christopher Qaiser,PML-N,PML-N,,,PML-N,0,1,2,0,2,2,1;5,1,14,1,"Law, Justice and Human Rights"
Hamid Ul Haq,Hamid Ul Haq,PTI,PTI,,,PTI,0,1,2,0,2,1,3,1,14,0,
Ibadullah,Ibadullah,PML-N,PML-N,,,PML-N,0,1,2,0,2,2,1;3,1,14,2,"Law and Justice;Law, Justice and Human Rights"
Gul Zafar Khan,Gul Zafar Khan,PTI,,PTI,,PTI,0,1,2,0,2,2,1;3,1,15,0,
Gul Dad Khan,Gul Dad Khan,PTI,,PTI,,PTI,0,1,2,0,2,2,1;3,1,15,0,
Raja Osama Sarwar,Raja Osama Sarwar,PML-N,,,PML-N,PML-N,0,1,2,0,2,1,1,1,16,0,
Ch. Muhammad Hamid Hameed,Ch. Muhammad Hamid Hameed,PML-N,PML-N,PML-N,,PML-N,0,1,2,0,2,2,1;4,2,14;15,1,Religious Affairs and Inter-faith Harmony
Nelson Azeem,Nelson Azeem,PML-N,,,PML-N,PML-N,0,1,2,0,2,1,1,1,16,0,
Ahad Khan Cheema,Ahad Khan Cheema,PMLN,,,PMLN,PMLN,0,1,2,2,0,1,1,1,16,0,
Ch. Asad Ur Rehman,Ch. Asad Ur Rehman,PML-N,PML-N,,,PML-N,0,1,2,0,2,1,4,1,14,0,
Malik Abdul Ghaffar Dogar,Malik Abdul Ghaffar Dogar,PML-N,PML-N,,,PML-N,0,1,2,0,2,1,4,1,14,0,
Bilal Rehman,Bilal Rehman,IND,IND,,,IND,0,1,2,0,2,1,4,1,14,0,
Abdul Kareem,Abdul Kareem,PML-N,PML-N,,,PML-N,0,1,2,0,2,1,4,1,14,0,
Syeda Nosheen Iftikhar,Syeda Nosheen Iftikhar,PML-N,,,PML-N,PML-N,0,1,2,0,2,1,1,1,16,0,
Reeta Ishwar,Reeta Ishwar,PML-F,PML-F,,,PML-F,0,1,2,0,2,1,1,1,14,1,"Law, Justice and Human Rights"
Pir Syed Saddaruddin Shah Rashdi,Pir Syed Saddaruddin Shah Rashdi,PML-F,PML-F,,,PML-F,0,1,2,2,0,2,2;3,1,14,0,
Syed Amin-ul-Haque,Syed Amin-ul-Haque,MQM,,,MQM,MQM,0,1,2,0,2,1,1,1,16,0,
Qamar Ud Din,Qamar Ud Din,JUI,JUI,,,JUI,0,1,2,0,2,2,3;5,1,14,1,"Law, Justice and Human Rights"
Ms Shagufta Jumani,Ms Shagufta Jumani,PPPP,,PPPP,,PPPP,0,1,2,0,2,1,5,1,15,0,
Syed Ghulam Mustafa Shah,Syed Ghulam Mustafa Shah,PPPP,,PPPP,,PPPP,0,1,2,0,2,1,5,1,15,0,
Mir Ghulam Ali Talpur,Mir Ghulam Ali Talpur,PPPP,,PPPP,,PPPP,0,1,2,0,2,1,5,1,15,0,
Khurshed Ahmed Junejo,Khurshed Ahmed Junejo,PPPP,,PPPP,,PPPP,0,1,2,0,2,1,5,1,15,0,
Mahreen Razzaq Bhutto,Mahreen Razzaq Bhutto,PPPP,,,PPPP,PPPP,0,1,2,0,2,1,1,1,16,0,
Shahzada Muhammad Gushtasap Khan,Shahzada Muhammad Gushtasap Khan,SIC,,,SIC,SIC,0,1,2,0,2,1,1,1,16,0,
Asad Qaiser,Asad Qaiser,SIC,,,SIC,SIC,0,1,2,0,2,1,1,1,16,0,
Muhammad Sajjad,Muhammad Sajjad,PML-N,,PML-N,,PML-N,0,1,2,0,2,1,1,1,15,0,
Changaze Ahmed Khan,Changaze Ahmed Khan,SIC,,,SIC,SIC,0,1,2,0,2,1,1,1,16,0,
Aliya Kamran,Aliya Kamran,JUIP,,,JUIP,JUIP,0,1,2,0,2,1,1,1,16,0,
Sana Ullah Khan Mastikhel,Sana Ullah Khan Mastikhel,SIC,,,SIC,SIC,0,1,2,0,2,1,1,1,16,0,
Munir Khan Orakzai,Munir Khan Orakzai,MMA,,MMA,,MMA,0,1,2,0,2,1,1,1,15,0,
Mahesh Kumar Malani,Mahesh Kumar Malani,PPPP,,PPPP,,PPPP,0,1,2,0,2,1,1,1,15,0,
Sajid Khan,Sajid Khan,PTI,,PTI,,PTI,0,1,2,0,2,2,1;2,1,15,0,
Bismillah Khan,Bismillah Khan,IND,IND,,,IND,0,1,2,0,2,1,3,1,14,0,
Ehsanullah Reki,Ehsanullah Reki,BAP,,BAP,,BAP,0,1,2,1,1,2,4;5,1,15,0,
Ihsan ul Haq Bajwa,Ihsan ul Haq Bajwa,PML-N,,PML-N,,PML-N,0,1,2,0,2,1,5,1,15,0,
Tahira Asif,Tahira Asif,MQM,MQM,,,MQM,0,1,2,0,2,1,1,1,14,1,Interior and Narcotics Control
Nawabzada Shah Zain Bugti,Nawabzada Shah Zain Bugti,JWP,,JWP,,JWP,0,1,2,2,0,1,4,1,15,1,Committee Name
Chaudhry Riaz-ul-Haq,Chaudhry Riaz-ul-Haq,PML-N,,PML-N,,PML-N,0,1,2,0,2,1,5,1,15,0,
Syed Ali Musa Gilani,Syed Ali Musa Gilani,PPPP,,PPPP,,PPPP,0,1,2,0,2,1,5,1,15,0,
Mrs. Musarat Rafique Mahesar,Mrs. Musarat Rafique Mahesar,PPPP,,PPPP,,PPPP,0,1,2,0,2,1,5,1,15,0,
Syed Ayaz Ali Shah Sheerazi,Syed Ayaz Ali Shah Sheerazi,PML-N,PML-N,,,PML-N,0,1,2,0,2,1,5,1,14,0,
Salman Hanif,Salman Hanif,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,1,Interior and Narcotics Control
Iffat Liaqat,Iffat Liaqat,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,1,Interior and Narcotics Control
Nuzhat Sadiq,Nuzhat Sadiq,PML-N,,,PML-N,PML-N,0,1,1,0,1,1,1,1,16,0,
Malik Shakir Bashir Awan,Malik Shakir Bashir Awan,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,1,Religious Affairs and Inter-faith Harmony
Abdul Majeed Khan Khanan Khel,Abdul Majeed Khan Khanan Khel,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,1,Religious Affairs and Inter-faith Harmony
Rana Afzaal Hussain,Rana Afzaal Hussain,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,0,
Shahid Ahmad,Shahid Ahmad,PTI,,PTI,,PTI,0,1,1,0,1,1,2,1,15,0,
Farooq Hamid Naek,Farooq Hamid Naek,PPPP,PPPP,,,PPPP,0,1,1,0,1,1,1,1,14,0,
Musarrat Rafique Mahesar,Musarrat Rafique Mahesar,PPPP,,,PPPP,PPPP,0,1,1,0,1,1,1,1,16,0,
Muhammad Hanif Abbasi,Muhammad Hanif Abbasi,PML-N,,,PML-N,PML-N,0,1,1,0,1,1,1,1,16,0,
Amra Khan,Amra Khan,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,4,1,14,0,
Aftab Ahmad Khan Sherpao,Aftab Ahmad Khan Sherpao,QWP,QWP,,,QWP,0,1,1,0,1,1,4,1,14,0,
Samina Khalid Ghurki,Samina Khalid Ghurki,PPPP,,,PPPP,PPPP,0,1,1,0,1,1,1,1,16,0,
Ihsan Ur Rahman Mazari,Ihsan Ur Rahman Mazari,PPPP,,PPPP,,PPPP,0,1,1,1,0,1,5,1,15,0,
Ahmed Raza Maneka,Ahmed Raza Maneka,PML-N,,,PML-N,PML-N,0,1,1,1,0,1,1,1,16,0,
Ali Pervaiz,Ali Pervaiz,PML-N,,,PML-N,PML-N,0,1,1,1,0,1,1,1,16,0,
Engineer Mohammad Usman Badaini,Engineer Mohammad Usman Badaini,IND,IND,,,IND,0,1,1,0,1,1,5,1,14,0,
Mir Aijaz Hussain Jakhrani,Mir Aijaz Hussain Jakhrani,PPPP,PPPP,,,PPPP,0,1,1,0,1,1,2,1,14,0,
Muhammad Ayub,Muhammad Ayub,PTI,,PTI,,PTI,0,1,1,1,0,1,4,1,15,0,
Muhammad Abubakar,Muhammad Abubakar,MQMP,,MQMP,,MQMP,0,1,1,0,1,1,5,1,15,0,
Kamal Uddin,Kamal Uddin,MMA,,MMA,,MMA,0,1,1,0,1,1,1,1,15,0,
Chaudhry Salik Hussain,Chaudhry Salik Hussain,PML,,,PML,PML,0,1,1,1,0,1,1,1,16,0,
Naz Baloch,Naz Baloch,PPPP,,PPPP,,PPPP,0,1,1,0,1,1,4,1,15,0,
Dr. Amjad Ali Khan,Dr. Amjad Ali Khan,SIC,,,SIC,SIC,0,1,1,0,1,1,1,1,16,0,
Muhammad Javed Hanif Khan,Muhammad Javed Hanif Khan,MQM,,,MQM,MQM,0,1,1,0,1,1,1,1,16,0,
Syed Mustafa Kamal,Syed Mustafa Kamal,MQM,,,MQM,MQM,0,1,1,0,1,1,1,1,16,0,
Syed Hafeezuddin,Syed Hafeezuddin,MQM,,,MQM,MQM,0,1,1,0,1,1,1,1,16,0,
Shafqat Abbas,Shafqat Abbas,SIC,,,SIC,SIC,0,1,1,0,1,1,1,1,16,0,
Sajid Nawaz,Sajid Nawaz,PTI,PTI,,,PTI,0,1,1,0,1,1,4,1,14,0,
Sherry Rehman,Sherry Rehman,PPPP,,PPPP,,PPPP,0,1,1,1,0,1,5,1,15,0,
Sardar Riaz Mehmood Khan Mazari,Sardar Riaz Mehmood Khan Mazari,PTI,,PTI,,PTI,0,1,1,0,1,1,3,1,15,0,
Dr. Muhammad Azhar Khan Jadoon,Dr. Muhammad Azhar Khan Jadoon,PTI,PTI,,,PTI,0,1,1,0,1,1,1,1,14,1,Interior and Narcotics Control
Ali Amin Khan,Ali Amin Khan,PTI,,PTI,,PTI,0,1,1,1,0,1,3,1,15,0,
Zahoor Hussain Qureshi,Zahoor Hussain Qureshi,PTI,,PTI,,PTI,0,1,1,0,1,1,1,1,15,0,
Sardar Nasrullah Khan Drishak,Sardar Nasrullah Khan Drishak,PTI,,PTI,,PTI,0,1,1,0,1,1,1,1,15,0,
Abdul Rehman Khan Kanju,Abdul Rehman Khan Kanju,PML-N,,PML-N,,PML-N,0,1,1,0,1,1,1,1,15,0,
Khalil George,Khalil George,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,1,"Law, Justice and Human Rights"
Muhammad Ijaz Ahmed Ch.,Muhammad Ijaz Ahmed Ch.,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,2,1,14,0,
Makhdoom Syed Ali Hassan Gillani,Makhdoom Syed Ali Hassan Gillani,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,1,"Law, Justice and Human Rights"
Dr. Nisar Ahmad,Dr. Nisar Ahmad,PML-N,PML-N,,,PML-N,0,1,1,0,1,1,1,1,14,0,
Sardar Kamal Khan Bangulzai,Sardar Kamal Khan Bangulzai,NP,NP,,,NP,0,1,1,0,1,1,1,1,14,1,"Law, Justice and Human Rights"
Nasiba Channa,Nasiba Channa,PPPP,,PPPP,,PPPP,0,1,1,0,1,1,1,1,15,0,
Dawar Khan Kundi,Dawar Khan Kundi,PTI,PTI,,,PTI,0,1,1,0,1,1,3,1,14,0,
Khwaja Ghulam Rasool Koreja,Khwaja Ghulam Rasool Koreja,PPPP,PPPP,,,PPPP,0,1,1,0,1,1,1,1,14,1,Cabinet Secretariat
Asghar Ali Shah,Asghar Ali Shah,PPPP,PPPP,,,PPPP,0,1,1,0,1,1,1,1,14,1,Cabinet Secretariat
Syed Abrar Ali Shah,Syed Abrar Ali Shah,PPPP,,,PPPP,PPPP,0,1,1,0,1,1,1,1,16,0,
Mirza Ikhtiar Baig,Mirza Ikhtiar Baig,PPPP,,,PPPP,PPPP,0,1,1,0,1,1,1,1,16,0,
Shazia Sobia Aslam Soomro,Shazia Sobia Aslam Soomro,PPPP,,,PPPP,PPPP,0,1,1,0,1,1,1,1,16,0,
Syed Ali Qasim Gillani,Syed Ali Qasim Gillani,PPPP,,,PPPP,PPPP,0,1,1,0,1,1,1,1,16,0,
Zulfiqar Ali Khan,Zulfiqar Ali Khan,PTI,,PTI,,PTI,0,1,1,0,1,1,3,1,15,0,
Aurangzeb Khan,Aurangzeb Khan,IND,,,IND,IND,0,1,1,1,0,1,1,1,16,0,
Ch. Iftikhar Nazir,Ch. Iftikhar Nazir,PML-N,,PML-N,,PML-N,0,1,1,0,1,1,1,1,15,0,
Haji Imtiaz Ahmed Choudhary,Haji Imtiaz Ahmed Choudhary,PTI,,PTI,,PTI,0,1,1,0,1,1,1,1,15,0,
Malik Karamat Ali,Malik Karamat Ali,PTI,,PTI,,PTI,0,1,1,0,1,1,1,1,15,0,
Nawabzada Iftikhar Ahmed Khan Babar,Nawabzada Iftikhar Ahmed Khan Babar,PPPP,,,PPPP,PPPP,0,1,1,0,1,1,1,1,16,0,
Rana Shamim Ahmed Khan,Rana Shamim Ahmed Khan,PML-N,,PML-N,,PML-N,0,1,1,0,1,1,5,1,15,0,
Mohammad Riaz Khan,Mohammad Riaz Khan,SIC,,,SIC,SIC,0,1,1,0,1,1,1,1,16,0,
Khawaja Izhar-ul-Hassan,Khawaja Izhar-ul-Hassan,MQM,,,MQM,MQM,0,1,1,0,1,1,1,1,16,0,
Rahat Aman Ullah Bhatti,Rahat Aman Ullah Bhatti,PTI,,PTI,,PTI,0,1,1,0,1,1,2,1,15,0,
Shaheen Naz Saifullah,Shaheen Naz Saifullah,PTI,,PTI,,PTI,0,1,1,0,1,1,2,1,15,0,
Zulfiqar Ahmad,Zulfiqar Ahmad,PML-N,,PML-N,,PML-N,0,1,1,0,1,1,5,1,15,0,
Nisar Ahmad Cheema,Nisar Ahmad Cheema,PML-N,,PML-N,,PML-N,0,1,1,0,1,1,5,1,15,0,
Ch. Abid Raza,Ch. Abid Raza,PML-N,,PML-N,,PML-N,0,1,1,0,1,1,5,1,15,0,
Mir Dostain Khan Domki,Mir Dostain Khan Domki,PML-N,PML-N,,,PML-N,0,1,1,1,0,1,5,1,14,0,
Zulfiqar Ali Bhatti,Zulfiqar Ali Bhatti,PML-N,,,PML-N,PML-N,0,1,1,0,1,1,1,1,16,0,
